C0,C1,C2,C3,rms_mag,rms_phase,saturation,% of clay (b)
3.917441897783257,0.05,-2.9364893550774545,0.5,0.0017459304960996175,1.5035518729222153,100.0,2.0
4.077060721242641,0.05,-2.9364893550774545,0.5,0.0020103068405995105,1.5876397313443655,79.88072054527755,2.0
4.539534434914573,0.05,-2.9364893550774545,0.5,0.0022551503315283274,1.8262955417801159,63.70496592015591,2.0
4.851503435615728,0.05,-2.9364893550774545,0.5,0.0022937811335714924,1.8731723693862503,53.29844206426475,2.0
5.066470634140053,0.05,-2.9364893550774545,0.5,0.0023836959531233957,1.8505455826810229,44.6811100292113,2.0
5.328020352639481,0.05,-2.9364893550774545,0.5,0.002131597380593789,1.6274650648428528,27.86027263875375,2.0
5.6363468688585145,0.05,-2.9364893550774545,0.5,0.0011829962669341794,0.9986504285877612,13.27896786757555,2.0
5.64793282602268,0.05,-2.9364893550774545,0.5,0.0010018659282761955,0.6589752047640542,9.749269717624127,2.0
5.633598054413201,0.05,-2.9364893550774545,0.5,0.0008157375722588739,0.49322651145790836,6.59688412852978,2.0
3.7286077982135803,0.14444444444444443,-2.9364893550774545,0.5,0.003237847403695317,2.895955913653929,100.0,4.0
3.8559978704914575,0.14444444444444443,-2.9364893550774545,0.5,0.0030052190175354986,2.6954345129001616,89.49122132513129,4.0
3.905825929158503,0.14444444444444443,-2.9364893550774545,0.5,0.0028253841332515116,2.600059773386986,84.71100858644103,4.0
4.371168566334637,0.14444444444444443,-2.9364893550774545,0.5,0.003299909425353602,3.039185772782157,54.645649109316786,4.0
4.470048361953655,0.14444444444444443,-2.9364893550774545,0.5,0.003392751486524402,3.009881772666844,48.968345508137965,4.0
4.489614397640866,0.05,-2.9364893550774545,0.5,0.00258128076354106,2.399447974991614,39.60015378700513,4.0
4.536216862118684,0.05,-2.9364893550774545,0.5,0.0025392156825925372,2.3710617596655195,36.65256952454174,4.0
4.591562584378889,0.05,-2.9364893550774545,0.5,0.0019653079103872325,1.4306103252514466,22.952710495963206,4.0
4.632182481252838,0.05,-2.9364893550774545,0.5,0.0012549186178371558,1.0069371056897323,17.557349737280596,4.0
3.4902096648116134,0.14444444444444443,-2.9364893550774545,0.5,0.0033640514721380546,3.1789963735760813,100.0,6.0
3.537620091761175,0.14444444444444443,-2.9364893550774545,0.5,0.003928005676127688,3.3652479681167007,87.13671315000636,6.0
3.87454888481695,0.14444444444444443,-2.9364893550774545,0.5,0.0040778809888633106,3.690622674553161,76.54111820669883,6.0
4.039277580850784,0.14444444444444443,-2.9364893550774545,0.5,0.004166429983275694,3.7787237032732377,68.7084582301577,6.0
4.215305166593161,0.14444444444444443,-2.9364893550774545,0.5,0.003959373172923697,3.6429340875077507,58.72540075589722,6.0
4.368487998912177,0.14444444444444443,-2.9364893550774545,0.5,0.0034351191519405035,3.320433748179503,46.487684087058305,6.0
4.4880191775962714,0.14444444444444443,-2.9364893550774545,0.5,0.0027208198838333066,3.0387180235531344,38.56379512576555,6.0
4.596549869099024,0.05,-2.9364893550774545,0.5,0.0019324109849066596,2.355615724283956,30.848429558190848,6.0
4.985742718040847,0.05,-2.9364893550774545,0.5,0.00014888120553908444,3.122436237188623,14.844259090316525,6.0
3.4976348517121374,0.14444444444444443,-2.9364893550774545,0.5,0.004681322076764729,4.2234754182886975,100.0,8.0
3.455294077513503,0.14444444444444443,-2.9364893550774545,0.5,0.004488923977387539,3.974561670001105,87.3239436619718,8.0
3.563110479433023,0.14444444444444443,-2.9364893550774545,0.5,0.0036398459577781724,3.391255927153949,72.0618794735626,8.0
3.684727212643711,0.14444444444444443,-2.9364893550774545,0.5,0.0036863089302832594,3.5012649457370286,64.8002770722696,8.0
3.8224205465898855,0.14444444444444443,-2.9364893550774545,0.5,0.0035413854437430733,3.4540057325508053,56.71900253982908,8.0
3.9787783522208655,0.14444444444444443,-2.9364893550774545,0.5,0.0031216319116115837,3.22293902670785,44.585546063264765,8.0
4.0939163558326,0.05,-2.9364893550774545,0.5,0.002110373978092809,2.5035737239216886,32.18656199492024,8.0
4.147129721443037,0.05,-2.9364893550774545,0.5,0.001311424446499509,1.7644132958347714,23.678134380050817,8.0
4.207118360838064,0.05,-2.9364893550774545,0.5,0.00038837289328314185,0.7949584407182153,14.049873008542901,8.0
