             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
2.0000000e-002;     4.880782;     3.509374;     2.796170;     1.102222;   3732010180
1.0000000e-002;     4.885387;     3.408868;     2.729905;     1.038545;   3732010480
1.0000000e-002;     4.884964;     3.413740;     2.729710;     1.042847;   3732010781
2.0000000e-002;     4.879503;     3.536688;     2.805634;     1.119356;   3732010932
3.0000000e-002;     4.875819;     3.596834;     2.839065;     1.165089;   3732011033
4.0000000e-002;     4.873127;     3.632193;     2.856074;     1.197246;   3732011109
5.0000000e-002;     4.871020;     3.657491;     2.866695;     1.222914;   3732011170
6.0000000e-002;     4.869314;     3.676936;     2.873919;     1.244226;   3732011221
7.0000000e-002;     4.867865;     3.691459;     2.878713;     1.261386;   3732011265
8.0000000e-002;     4.866697;     3.702472;     2.881500;     1.275996;   3732011303
9.0000000e-002;     4.865673;     3.711191;     2.883377;     1.288137;   3732011337
1.0000000e-001;     4.864717;     3.717277;     2.883766;     1.298344;   3732011368
2.0000000e-001;     4.858558;     3.756771;     2.882158;     1.372759;   3732011384
3.0000000e-001;     4.855858;     3.767730;     2.875284;     1.405451;   3732011395
4.0000000e-001;     4.854014;     3.787733;     2.883842;     1.426192;   3732011404
5.0000000e-001;     4.852394;     3.804389;     2.890894;     1.443058;   3732011411
6.0000000e-001;     4.851369;     3.805464;     2.884974;     1.455187;   3732011416
7.0000000e-001;     4.850593;     3.815837;     2.889420;     1.465655;   3732011422
8.0000000e-001;     4.849994;     3.818143;     2.886952;     1.473947;   3732011426
9.0000000e-001;     4.849608;     3.820483;     2.885278;     1.480939;   3732011431
1.0000000e+000;     4.848545;     3.824400;     2.885923;     1.486808;   3732011434
2.0000000e+000;     4.846461;     3.844266;     2.887121;     1.521266;   3732011437
3.0000000e+000;     4.846571;     3.849721;     2.885212;     1.536350;   3732011439
4.0000000e+000;     4.847066;     3.851740;     2.883074;     1.545593;   3732011440
5.0000000e+000;     4.847534;     3.854184;     2.883118;     1.551671;   3732011442
6.0000000e+000;     4.847987;     3.855628;     2.882878;     1.556293;   3732011443
7.0000000e+000;     4.848321;     3.856577;     2.882637;     1.559920;   3732011444
8.0000000e+000;     4.848621;     3.857353;     2.882541;     1.562852;   3732011446
9.0000000e+000;     4.848871;     3.857992;     2.882547;     1.565292;   3732011447
1.0000000e+001;     4.849095;     3.858399;     2.882432;     1.567417;   3732011448
2.0000000e+001;     4.850635;     3.860168;     2.882436;     1.579850;   3732011449
3.0000000e+001;     4.852474;     3.860999;     2.883290;     1.586460;   3732011450
4.0000000e+001;     4.854724;     3.861878;     2.884519;     1.591238;   3732011451
5.0000000e+001;     4.857116;     3.862814;     2.885947;     1.595071;   3732011452
6.0000000e+001;     4.851749;     3.857000;     2.882005;     1.595249;   3732011453
7.0000000e+001;     4.852861;     3.856784;     2.882603;     1.597553;   3732011453
8.0000000e+001;     4.853985;     3.856580;     2.883233;     1.599586;   3732011454
9.0000000e+001;     4.855193;     3.856466;     2.883956;     1.601457;   3732011455
1.0000000e+002;     4.856394;     3.856338;     2.884701;     1.603155;   3732011456
2.0000000e+002;     4.855883;     3.843633;     2.883781;     1.610591;   3732011457
3.0000000e+002;     4.855614;     3.829990;     2.883523;     1.614629;   3732011458
4.0000000e+002;     4.855430;     3.815222;     2.883496;     1.617377;   3732011459
5.0000000e+002;     4.855342;     3.799431;     2.883603;     1.619480;   3732011460
6.0000000e+002;     4.855281;     3.782854;     2.883744;     1.621167;   3732011460
7.0000000e+002;     4.855260;     3.765542;     2.883938;     1.622599;   3732011461
8.0000000e+002;     4.855322;     3.747872;     2.884181;     1.623860;   3732011462
9.0000000e+002;     4.855332;     3.729664;     2.884413;     1.624967;   3732011463
1.0000000e+003;     4.855388;     3.711201;     2.884647;     1.625962;   3732011464
2.0000000e+003;     4.857719;     3.527271;     2.887922;     1.633379;   3732011465
3.0000000e+003;     4.859305;     3.359724;     2.890337;     1.637972;   3732011466
4.0000000e+003;     4.857705;     3.211644;     2.890597;     1.640435;   3732011466
5.0000000e+003;     4.855562;     3.082238;     2.890392;     1.642136;   3732011467
6.0000000e+003;     4.853542;     2.969132;     2.890086;     1.643459;   3732011468
7.0000000e+003;     4.851146;     2.868979;     2.889464;     1.644385;   3732011469
8.0000000e+003;     4.849538;     2.782030;     2.889233;     1.645370;   3732011470
9.0000000e+003;     4.848977;     2.704696;     2.889577;     1.646561;   3732011471
1.0000000e+004;     4.847991;     2.635711;     2.889598;     1.647472;   3732011472
2.0000000e+004;     4.845701;     2.217502;     2.892907;     1.655437;   3732011472
3.0000000e+004;     4.841275;     2.022883;     2.893714;     1.659545;   3732011473
4.0000000e+004;     4.834147;     1.907665;     2.892515;     1.661429;   3732011474
4.5000000e+004;     4.829777;     1.864341;     2.891369;     1.661801;   3732011475
